video_id,title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,likesVSviews,rating,raw_rating
qpNW6MaH88k,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-07 17:30:02,50,90416,1072,57,0.011225889223146346,0.232431639400532,0.011225889223146344
IOxXQb94MlA,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-26 17:30:01,32,17762,551,24,0.02967008219795068,0.6491365550122155,0.02967008219795068
tSYhv9bjT60,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-04 17:30:04,36,11224,353,28,0.028955808980755525,0.6329991636337158,0.028955808980755525
6UvofUhxfw4,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-28 17:30:00,55,24057,849,79,0.03200731595793324,0.7019410771753025,0.032007315957933234
Cl4CIw6t-uY,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-31 17:31:03,57,145514,2035,99,0.013304561760380444,0.2793945542537717,0.013304561760380444
fezPEvYmP8M,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-17 17:30:00,22,13177,249,17,0.017606435455718297,0.3765856819781821,0.017606435455718297
_Rw8ZuQM0n8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-24 17:30:00,67,76390,1125,66,0.013863071082602435,0.29201281195161616,0.013863071082602436
p98lcS6gQW8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-12 17:30:00,56,19008,655,43,0.032196969696969696,0.7062258754003365,0.032196969696969696
possz1TfWYk,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-09 17:30:00,56,31389,757,81,0.021536206951479817,0.4653700002593605,0.021536206951479817
SngmtxDKoEY,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-10 17:30:02,29,45979,859,31,0.018008221144435503,0.3856631228691768,0.018008221144435503
QnocDll3j1g,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-01 17:30:00,71,74064,2250,61,0.02955551955065889,0.6465482705403933,0.02955551955065889
