title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,video_favoriteCount,video_id
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-07T17:00:12.000Z,48,69057,1278,64,0,gs6jP8vTYCI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-17T17:00:05.000Z,69,68039,1234,138,0,iO5rP4SOTTc
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-12T17:00:06.000Z,132,90981,1846,108,0,c1-9m8aO2xI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-06T17:00:00.000Z,21,48968,716,70,0,07mzpKGB4V8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-05T17:00:00.000Z,191,98258,1892,200,0,92Ot_XzDS38
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-10T17:00:00.000Z,1003,710659,17375,1571,0,0OwJU91cchk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-04T17:00:02.000Z,73,12553,221,179,0,OcZ0EFuzcww
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-18T18:00:01.000Z,138,232966,3447,143,0,CDDFAFkeFD8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-01T18:00:01.000Z,28,40662,757,79,0,9q4wcVNBZ2s
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-12T18:00:04.000Z,32,21750,297,37,0,qCeBPeBjKcA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-05T18:00:00.000Z,11,8397,174,23,0,2OoFqnNb6UM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-27T17:00:07.000Z,21,41819,534,92,0,bvbgHdHocfQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-07T17:00:02.000Z,103,106573,1563,83,0,XPZ-5jVQHpA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-15T17:00:04.000Z,345,431622,12787,326,0,fXebcUFjt2s
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-21T17:00:00.000Z,72,87852,1511,79,0,B02NsP33pRM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-28T17:00:00.000Z,65,72924,1676,160,0,4ezba_moARM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-29T17:00:00.000Z,308,228269,7005,347,0,0DbORGwTVEM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-03T17:00:01.000Z,361,209318,3124,490,0,2jQ4CR9Gvbk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-08T17:00:00.000Z,130,159563,1864,282,0,ADcFkQqdDfc
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-16T17:00:11.000Z,1495,2797060,64413,1445,0,y3kGVty0dyg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-01T17:00:12.000Z,428,367616,9474,568,0,xCgk9nvuCxk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-10T17:00:05.000Z,33,23604,668,30,0,y1gvkjuTM2Q
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-06T17:00:01.000Z,267,151093,4285,98,0,26R8YHxqtGo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-24T17:00:02.000Z,616,721879,16140,372,0,JdKFwinbu0E
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-22T17:00:00.000Z,116,49084,1683,92,0,09uLj6K9rrk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-14T17:00:07.000Z,46,46195,831,163,0,taosbgmdis0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-20T17:00:02.000Z,126,117364,3434,164,0,U3G43AxHOZ0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-13T17:00:04.000Z,50,46971,973,57,0,com8_5hmPbw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-27T17:00:02.000Z,34,32734,623,34,0,Ivsa8G1dLzg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-09T17:00:04.000Z,146,116331,2255,290,0,YKkEkN9PIwU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-02T17:00:06.000Z,240,424715,8018,386,0,qOa5kglttJI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-28T18:00:02.000Z,38,22482,379,99,0,QXz2Qc7XijQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-25T17:00:05.000Z,58,41161,994,85,0,vc2TLqQE0qs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-21T18:00:05.000Z,38,12944,165,53,0,zrmNgcsnwUU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-17T17:00:02.000Z,8,20455,341,17,0,PQCaDSoOEc4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-18T17:00:02.000Z,63,95858,2034,82,0,TAvo-E5oUYI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-14T18:00:00.000Z,24,9451,236,41,0,aq7V34BmkBI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-11T17:00:03.000Z,154,173833,2972,183,0,leDj8R1Ywgs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-07T18:00:00.000Z,32,11845,333,25,0,-s_ReOgOJOo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-06T18:00:01.000Z,66,4103,113,166,0,SdWHsI9HvmQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-04T17:00:01.000Z,287,142506,4518,270,0,5U4lezGlfv4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-03-31T18:00:02.000Z,5,6544,99,27,0,jKURmj4SxdU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-03-30T18:00:01.000Z,157,8461,271,131,0,AVOP99adR9U
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-05T17:00:06.000Z,41,29044,521,92,0,q2QcV8ON0gQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-30T17:00:00.000Z,29,19371,321,56,0,2UplvQSL8dk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-04-23T17:00:05.000Z,77,95443,1558,101,0,m29-MiPZ8HE
